Day;Treatment;Strain;Replicate;Count
1;WT;Bacillus;R1;3,40E+06
1;WT;Bacillus;R2;4,05E+06
1;WT;Bacillus;R3;5,35E+06
1;SFP;Bacillus;R1;2600000
1;SFP;Bacillus;R2;2400000
1;SFP;Bacillus;R3;2800000
1;SRFAC;Bacillus;R1;2720640
1;SRFAC;Bacillus;R2;2332800
1;SRFAC;Bacillus;R3;2885120
1;PPSC;Bacillus;R1;2992000
1;PPSC;Bacillus;R2;3847500
1;PPSC;Bacillus;R3;4708000
3;WT;Bacillus;R1;7,00E+06
3;WT;Bacillus;R2;2,10E+07
3;WT;Bacillus;R3;1,40E+07
3;SFP;Bacillus;R1;700000
3;SFP;Bacillus;R2;1400000
3;SFP;Bacillus;R3;3000000
3;SRFAC;Bacillus;R1;2761670
3;SRFAC;Bacillus;R2;1464960
3;SRFAC;Bacillus;R3;3139200
3;PPSC;Bacillus;R1;6580000
3;PPSC;Bacillus;R2;10480000
3;PPSC;Bacillus;R3;11000000
6;WT;Bacillus;R1;8,00E+06
6;WT;Bacillus;R2;1,10E+07
6;WT;Bacillus;R3;1,30E+07
6;SFP;Bacillus;R1;300000
6;SFP;Bacillus;R2;800000
6;SFP;Bacillus;R3;1000000
6;SRFAC;Bacillus;R1;313920
6;SRFAC;Bacillus;R2;809600
6;SRFAC;Bacillus;R3;985800
6;PPSC;Bacillus;R1;8360000
6;PPSC;Bacillus;R2;9130000
6;PPSC;Bacillus;R3;11960000
9;WT;Bacillus;R1;3,10E+06
9;WT;Bacillus;R2;1,95E+06
9;WT;Bacillus;R3;2,80E+06
9;SFP;Bacillus;R1;40000
9;SFP;Bacillus;R2;30000
9;SFP;Bacillus;R3;60000
9;SRFAC;Bacillus;R1;143008
9;SRFAC;Bacillus;R2;129700
9;SRFAC;Bacillus;R3;167392
9;PPSC;Bacillus;R1;12759000
9;PPSC;Bacillus;R2;1774500
9;PPSC;Bacillus;R3;2324000
12;WT;Bacillus;R1;3,55E+06
12;WT;Bacillus;R2;7,00E+06
12;WT;Bacillus;R3;8,40E+06
12;SFP;Bacillus;R1;65000
12;SFP;Bacillus;R2;13000
12;SFP;Bacillus;R3;24000
12;SRFAC;Bacillus;R1;169433
12;SRFAC;Bacillus;R2;14501,5
12;SRFAC;Bacillus;R3;86208
12;PPSC;Bacillus;R1;3053000
12;PPSC;Bacillus;R2;5600000
12;PPSC;Bacillus;R3;7476000
14;WT;Bacillus;R1;6,00E+06
14;WT;Bacillus;R2;8,00E+06
14;WT;Bacillus;R3;2,20E+07
14;SFP;Bacillus;R1;3000
14;SFP;Bacillus;R2;8000
14;SFP;Bacillus;R3;12000
14;SRFAC;Bacillus;R1;12700
14;SRFAC;Bacillus;R2;29200
14;SRFAC;Bacillus;R3;10920
14;PPSC;Bacillus;R1;5520000
14;PPSC;Bacillus;R2;7360000
14;PPSC;Bacillus;R3;8920000
