Time;Treatment;Strain;Replicate;CFU
1;WT;764;R1;22000000
1;WT;764;R2;15000000
1;WT;764;R3;15500000
1;WT;763;R1;120000000
1;WT;763;R2;74000000
1;WT;763;R3;76500000
1;WT;749;R1;12000000
1;WT;749;R2;7700000
1;WT;749;R3;16000000
1;WT;757;R1;8000000
1;WT;757;R2;6000000
1;WT;757;R3;9000000
1;CONTROL;764;R1;24000000
1;CONTROL;764;R2;31500000
1;CONTROL;764;R3;28000000
1;CONTROL;763;R1;121000000
1;CONTROL;763;R2;160000000
1;CONTROL;763;R3;180000000
1;CONTROL;749;R1;7400000
1;CONTROL;749;R2;15000000
1;CONTROL;749;R3;13000000
1;CONTROL;757;R1;11000000
1;CONTROL;757;R2;24000000
1;CONTROL;757;R3;11000000
1;SFP;764;R1;18000000
1;SFP;764;R2;33500000
1;SFP;764;R3;21000000
1;SFP;763;R1;100500000
1;SFP;763;R2;150000000
1;SFP;763;R3;100000000
1;SFP;749;R1;17000000
1;SFP;749;R2;11000000
1;SFP;749;R3;9000000
1;SFP;757;R1;10000000
1;SFP;757;R2;13000000
1;SFP;757;R3;6600000
1;srfAC;764;R1;15000000
1;srfAC;764;R2;17000000
1;srfAC;764;R3;15000000
1;srfAC;763;R1;190000000
1;srfAC;763;R2;110000000
1;srfAC;763;R3;160000000
1;srfAC;749;R1;7000000
1;srfAC;749;R2;6000000
1;srfAC;749;R3;8500000
1;srfAC;757;R1;5500000
1;srfAC;757;R2;14000000
1;srfAC;757;R3;16000000
1;ppsC;764;R1;31500000
1;ppsC;764;R2;22000000
1;ppsC;764;R3;38000000
1;ppsC;763;R1;200000000
1;ppsC;763;R2;100000000
1;ppsC;763;R3;120000000
1;ppsC;749;R1;8000000
1;ppsC;749;R2;7000000
1;ppsC;749;R3;6000000
1;ppsC;757;R1;12000000
1;ppsC;757;R2;5000000
1;ppsC;757;R3;13000000
3;WT;764;R1;220000000
3;WT;764;R2;180000000
3;WT;764;R3;150000000
3;WT;763;R1;860000000
3;WT;763;R2;930000000
3;WT;763;R3;800000000
3;WT;749;R1;400000
3;WT;749;R2;600000
3;WT;749;R3;900000
3;WT;757;R1;61000000
3;WT;757;R2;12000000
3;WT;757;R3;7000000
3;CONTROL;764;R1;18000000
3;CONTROL;764;R2;38000000
3;CONTROL;764;R3;69000000
3;CONTROL;763;R1;290000000
3;CONTROL;763;R2;400000000
3;CONTROL;763;R3;550000000
3;CONTROL;749;R1;14000000
3;CONTROL;749;R2;3000000
3;CONTROL;749;R3;4000000
3;CONTROL;757;R1;31000000
3;CONTROL;757;R2;3650000
3;CONTROL;757;R3;12000000
3;SFP;764;R1;14000000
3;SFP;764;R2;140000000
3;SFP;764;R3;35500000
3;SFP;763;R1;124500000
3;SFP;763;R2;320000000
3;SFP;763;R3;430000000
3;SFP;749;R1;0
3;SFP;749;R2;0
3;SFP;749;R3;0
3;SFP;757;R1;3050000
3;SFP;757;R2;3900000
3;SFP;757;R3;2300000
3;srfAC;764;R1;28000000
3;srfAC;764;R2;67500000
3;srfAC;764;R3;46000000
3;srfAC;763;R1;56000000
3;srfAC;763;R2;470000000
3;srfAC;763;R3;390000000
3;srfAC;749;R1;0
3;srfAC;749;R2;0
3;srfAC;749;R3;0
3;srfAC;757;R1;2650000
3;srfAC;757;R2;1500000
3;srfAC;757;R3;1600000
3;ppsC;764;R1;84000000
3;ppsC;764;R2;84000000
3;ppsC;764;R3;87500000
3;ppsC;763;R1;540000000
3;ppsC;763;R2;540000000
3;ppsC;763;R3;420000000
3;ppsC;749;R1;0
3;ppsC;749;R2;0
3;ppsC;749;R3;0
3;ppsC;757;R1;3650000
