Time;Treatment;Rep;D764;D763;D749;D757
1;WT;R1;22000000;120000000;12000000;8000000
1;WT;R2;15000000;74000000;7700000;6000000
1;WT;R3;15500000;76500000;16000000;9000000
1;CONTROL;R1;24000000;121000000;7400000;11000000
1;CONTROL;R2;31500000;160000000;15000000;24000000
1;CONTROL;R3;28000000;180000000;13000000;11000000
1;sfp;R1;18000000;100500000;17000000;10000000
1;sfp;R2;33500000;150000000;11000000;13000000
1;sfp;R3;21000000;100000000;9000000;6600000
1;srfAC;R1;15000000;190000000;7000000;5500000
1;srfAC;R2;17000000;110000000;6000000;14000000
1;srfAC;R3;15000000;160000000;8500000;16000000
1;ppsC;R1;31500000;200000000;8000000;12000000
1;ppsC;R2;22000000;100000000;7000000;5000000
1;ppsC;R3;38000000;120000000;6000000;13000000
3;WT;R1;220000000;860000000;400000;61000000
3;WT;R2;180000000;930000000;600000;12000000
3;WT;R3;150000000;800000000;900000;7000000
3;CONTROL;R1;18000000;290000000;14000000;31000000
3;CONTROL;R2;38000000;400000000;3000000;3650000
3;CONTROL;R3;69000000;550000000;4000000;12000000
3;sfp;R1;14000000;124500000;0;3050000
3;sfp;R2;140000000;320000000;0;3900000
3;sfp;R3;35500000;430000000;0;2300000
3;srfAC;R1;28000000;56000000;0;2650000
3;srfAC;R2;67500000;470000000;0;1500000
3;srfAC;R3;46000000;390000000;0;1600000
3;ppsC;R1;84000000;540000000;0;3650000
3;ppsC;R2;84000000;540000000;0;3650000
3;ppsC;R3;87500000;420000000;0;1600000
6;WT;R1;170000000;1070000000;0;30300000
6;WT;R2;220000000;1120000000;0;9000000
6;WT;R3;90000000;670000000;0;11000000
6;CONTROL;R1;26000000;390000000;0;6300000
6;CONTROL;R2;36000000;330000000;0;5100000
6;CONTROL;R3;29000000;340000000;0;7300000
6;sfp;R1;27000000;209000000;0;2300000
6;sfp;R2;51000000;550000000;0;4400000
6;sfp;R3;11000000;320000000;0;1950000
6;srfAC;R1;28000000;530000000;0;1100000
6;srfAC;R2;40000000;690000000;0;2700000
6;srfAC;R3;27500000;660000000;0;1600000
6;ppsC;R1;90000000;1080000000;0;5000000
6;ppsC;R2;64500000;750000000;0;4000000
6;ppsC;R3;40000000;420000000;0;8000000
9;WT;R1;19000000;120000000;0;25250000
9;WT;R2;25500000;240000000;0;4000000
9;WT;R3;26000000;310000000;0;8000000
9;CONTROL;R1;17000000;130000000;0;5000000
9;CONTROL;R2;20000000;190000000;0;8000000
9;CONTROL;R3;16000000;100000000;0;9000000
9;sfp;R1;22000000;170000000;0;9000000
9;sfp;R2;15000000;270000000;0;2000000
9;sfp;R3;29000000;350000000;0;3000000
9;srfAC;R1;25000000;200000000;0;4000000
9;srfAC;R2;32500000;310000000;0;3000000
9;srfAC;R3;28000000;390000000;0;5000000
9;ppsC;R1;19000000;230000000;0;3000000
9;ppsC;R2;32000000;350000000;0;2000000
9;ppsC;R3;28000000;290000000;0;6000000
12;WT;R1;9500000;130000000;0;3030000
12;WT;R2;20500000;290000000;0;1400000
12;WT;R3;27000000;430000000;0;1300000
12;CONTROL;R1;20000000;300000000;0;9000000
12;CONTROL;R2;30500000;270000000;0;7000000
12;CONTROL;R3;27500000;370000000;0;6000000
12;sfp;R1;28000000;290000000;0;1000000
12;sfp;R2;14500000;270000000;0;2700000
12;sfp;R3;50000000;290000000;0;1450000
12;srfAC;R1;40000000;420000000;0;600000
12;srfAC;R2;15500000;390000000;0;1100000
12;srfAC;R3;41000000;420000000;0;800000
12;ppsC;R1;16000000;350000000;0;1550000
12;ppsC;R2;11000000;210000000;0;400000
12;ppsC;R3;12000000;180000000;0;900000
14;WT;R1;21500000;190000000;0;6060000
14;WT;R2;14500000;220000000;0;600000
14;WT;R3;11000000;130000000;0;1100000
14;CONTROL;R1;21000000;140000000;0;1800000
14;CONTROL;R2;15000000;110000000;0;1100000
14;CONTROL;R3;11000000;210000000;0;1100000
14;sfp;R1;32500000;290000000;0;1400000
14;sfp;R2;21000000;110000000;0;45450000
14;sfp;R3;18500000;200000000;0;1050000
14;srfAC;R1;30000000;160000000;0;500000
14;srfAC;R2;25000000;260000000;0;300000
14;srfAC;R3;47500000;450000000;0;2100000
14;ppsC;R1;25500000;120000000;0;1650000
14;ppsC;R2;12000000;180000000;0;1000000
14;ppsC;R3;27500000;280000000;0;1400000
