Syncom;P5_B1;sfp;srfAC;ppsC
3725325,147;3051557,727;3234620,797;2772281,968;2945008,968
1225583,554;982936,4848;807388,362;644584,1139;790079,13
430111,4496;675721,2704;1016135,389;650989,6016;851986,1632
8438,811303;3476,836068;9669,55683;8928,862162;4361,669474
3264978,576;3930467,964;4479679,881;4517849,771;4358056,165
1628667,994;557646,9731;980937,2234;918864,6558;532080,1801
10013,41371;2243484,968;1705103,233;2587917,805;3063056,193
153,6514501;88378,71273;0;0;116436,1351
0;14892,07789;78,68610413;0;20354,05955
8143,363235;2443682,885;1515,671593;0;2577081,454
7849,257235;2861614,948;1992003,266;3913619,462;4435382,232
1975,309932;646616,926;477,143194;0;647052,5264
1155,822198;1147787,203;473,5937887;0;1053679,789
1787,66141;905657,894;0;0;845131,3238
31,58669891;6903,645787;6386,295397;8931,957246;7507,814106
166854,1788;740518,3647;2142390,253;1330140,062;788869,1409
79,95083313;66084,29707;814,643148;0;49224,17278
810783,8201;742049,733;814500,1744;632645,8924;718595,7561
1554,802443;81526,00536;27905,08689;103337,4895;153879,1686
415075,8205;49988,49723;547323,3085;327163,9838;104159,3801
7980,493215;405478,1751;230389,3869;929217,7008;415828,4801
466,3746216;3282,274738;7634,754793;3236,966033;7560,481551
73397,91655;108889,6109;97877,47443;98874,10892;85971,64079
1168776,911;1098197,445;1152243,117;1061942,581;1114578,576
1772,49975;28256,37995;23216,38432;11874,8927;83504,72067
60449,95659;39819,40775;54135,80838;52174,2812;41656,36362
892,7777643;593,6958377;3148,991369;930,7832417;3493,948635
28730,82428;206228,6451;17772,25958;29145,40739;122711,6301
714,2648422;5083,505604;5123,499245;7336,235953;6123,943249
0;9250,609646;0;0;6266,958388
1923,1648;1016114,273;176,9747649;0;930549,2473
0;3601,624139;2750,548077;4263,310954;5499,780798
