Treatment;Day;Replicate;Peak1;Peak2;Peak3;Peak4;Peak5;Peak6;Peak7;Peak8;Peak9;Peak10;Peak11;Peak12;Peak13;Peak14;Peak15;Peak16;Peak17;Peak18;Peak19;Peak20;Peak21;Peak22;Peak23;Peak24;Peak25;Peak26;Peak27;Peak28;Peak29;Peak30;Peak31;Peak32;Peak33;Peak34;Peak35;Peak36;Peak37;Peak38;Peak39;Peak40;Peak41;Peak42;Peak43;Peak44;Peak45;Peak46;Peak47;Peak48;Peak49;Peak50;Peak51;Peak52;Peak53;Peak54;Peak55;Peak56;Peak57;Peak58;Peak59;Peak60;Peak61;Peak62;Peak63;Peak64;Peak65;Peak66
Syncom;1;R1;9289271,741;2228057,759;2293768,95;1391884,679;1979078,578;1166463,44;389961,9534;0;0;198,1055109;6088,642905;3767,961732;229704,7668;0;0;0;0;128704,0358;438798,3529;565642,9145;446319,7262;1646,402146;657,9744589;0;1564092,849;362104,8217;410391,8104;697059,8678;303695,8519;365617,8442;242232,9343;688776,1403;45030,43222;281697,5777;25467,63429;38408,92082;217674,3852;0;48687,08637;641141,6303;110256,5734;217967,1372;75340,02053;0;25307,69311;23124,74094;22072,71613;233270,6898;634,4454858;11041,97362;561629,1868;0;12959,74936;311348,7053;335613,603;0;30,60003021;193,8587512;1073,001934;37922,1971;132,24;17813,53505;0;5638,042083;1171379,285;29088,50082
Syncom;1;R2;1,35E+07;2404170,822;2223848,154;3083759,136;1843480,867;1967633,167;432840,0794;11448,25856;78256,00644;9600,794471;10484,76316;5183,98509;352333,3959;999,0762616;1879,12623;1378,280138;0;198752,9445;437681,7339;1242822,913;432733,9827;6815,47715;1980,791567;329,5763379;1770916,713;398230,7767;351358,588;662962,342;302070,008;361114,1318;774225,0983;1562093,515;642022,0942;625201,7389;465705,9991;469486,8269;114635,7841;0;131276,0514;1821133,361;323117,281;412193,1048;255699,1849;0;79526,48985;36542,42766;37283,21903;232842,1871;546,5479779;14567,56228;1316317,56;0;21674,9168;401024,2546;431693,9643;50,64468018;0;27,99930176;14422,96297;126058,0984;498,1914803;25268,75802;290,3840346;5726,269754;1202686,454;150162,7324
Syncom;1;R3;1,20E+07;2610894,788;2232279,904;2786935,662;1910479,704;1751907,376;361638,3114;36489,90127;221468,0354;20241,34115;9419,165251;6659,204873;475342,6722;2468,390331;3483,857999;4391,214261;619,5390656;173105,5562;368747,3748;1107263,54;446578,332;15479,60035;7672,799455;337,571315;1591095,192;358746,6396;384472,4061;624618,6378;305466,8542;345123,9403;589563,0423;1141326,701;321275,7901;527962,8882;216013,0228;244453,9776;104222,2753;0;123095,7893;1306132,784;239812,3841;337764,9497;190848,6326;2534,622261;149660,5607;61220,46538;46992,82698;436818,2213;456,7218585;14032,88742;1255638,954;0;16745,17858;368705,3779;436674,7805;0;36,26786865;0;9926,067279;135725,7679;1320,856471;27820,97965;258,917157;6186,625506;1313311,163;128213,5237
WT;1;R1;2411078,945;2553103,318;1851986,135;3200329,705;991475,3795;555891,9733;186800,9835;4481728,219;4161451,086;2618099,765;4834837,679;2249998,857;1010328,416;1548367,583;863714,3885;1242433,831;1490392,849;695270,2998;39948,66794;1321777,105;406548,3263;464571,3696;578343,985;688538,9393;1180798,931;208112,0184;288152,7524;626662,7252;268429,1726;273151,3248;737918,8263;835990,585;31045,90334;178903,2287;21889,59625;27944,50883;36458,00619;700265,0791;227307,1663;947006,7357;214669,6734;358156,9469;212200,673;779574,5648;123265,4231;27070,45233;36039,53834;183518,3494;99378,32935;19897,95251;1006803,698;55533,39579;75512,14696;75128,91002;101858,1651;0;5290,477167;26,70648926;3828,109501;174660,0514;0;67818,12289;3589,915809;7613,117578;1304654,114;56700,51376
WT;1;R2;1884311,301;2013774,783;2173119,462;2162796,732;858339,5156;406606,8704;451090,6629;3676050,749;4389477,464;1338718,877;1119003,21;353294,8607;218869,227;1075697,748;699182,817;767095,6139;842319,7185;491574,7833;60465,34696;874095,803;392691,5521;217551,3913;252172,974;273172,0904;1850963,313;425355,9399;327635,3934;642826,775;274427,9997;335104,5376;426304,2309;468240,7309;649623,112;119732,1486;534615,3702;477960,6464;78174,88419;410368,7083;26923,0219;720750,7458;120163,6626;254119,6467;121560,2658;398035,0229;27438,80466;13457,33251;38069,05113;347013,9521;79560,04732;6454,941833;694431,3481;41805,3239;61000,39417;103831,0985;124247,5901;0;4996,168;217,0925317;21403,44182;71230,79489;261,7684296;10005,80423;0;4497,478718;1105184,089;51231,56071
WT;1;R3;3289264,544;2819300,484;705504,5505;3822862,709;1643368,96;710442,0755;307193,9387;5338324,05;4150631,101;2774089,928;217741,8914;50162,60852;286162,1525;1955402,457;1153506,339;1528771,163;1818488,746;1050812,136;49551,47679;1551048,3;431072,9097;534311,7645;645272,2252;762354,8423;1301849,276;302386,6141;322636,7828;549554,6393;308008,9031;329056,6426;828054,2032;1081849,623;573885,9824;256179,6173;492507,0409;397555,9859;36610,81164;557644,6011;99114,67175;339562,9136;266583,2029;394367,4415;254463,9184;799819,2918;40128,58476;15327,03685;37649,92887;300829,9072;168949,8376;24087,72289;1262801,718;82770,06462;93058,72812;99736,97916;131172,8092;0;8595,34281;227,502849;16639,62918;188793,4557;0;18332,27251;0;6920,4569;1432097,482;66326,23092
SFP;1;R1;1,01E+07;2760593,266;945810,84;2656270,902;1556963,815;873766,8708;316775,624;8703,760112;69855,15364;1819611,992;103728,0996;24157,59361;256818,5665;1420,781366;0;530,9242946;1135453,111;1839032,052;335700,9388;1052606,618;391773,5106;255541,0802;195105,1367;445062,7066;1340860,923;305837,3007;306203,8024;581322,5516;280015,5379;344270,4689;631423,6269;1128524,373;510787,0864;279639,7706;434290,9807;353930,3532;137168,4829;183792,1131;73631,24873;281832,6258;200888,5152;381530,5721;233723,5609;608953,8975;31192,55344;29331,45923;43453,51993;308983,3937;262,4642999;18120,40836;1085039,865;0;310,3684937;121683,6455;162458,7298;34,24242187;103,0644342;24,96595276;13602,19035;57488,76402;464,4930359;11164,41788;0;6183,901741;1393901,468;87965,29014
SFP;1;R2;1,07E+07;2682539,245;1896632,464;2803325,532;1305272,327;955152,9393;279866,1026;0;16356,14314;1510717,204;67749,81787;19284,88918;496106,803;0;0;0;974338,1655;2079467,817;278109,9267;1119523,997;354343,5731;204183,1326;152727,2354;332782,7722;1192573,815;271450,865;280388,5791;666654,9605;248955,3454;319204,2727;798656,3415;1356304,797;502118,929;326443,8721;405938,5443;336699,1263;109415,6126;181413,6988;114164,4097;401697,7506;257207,4993;418994,2712;288378,2592;536429,4753;45768,57584;37109,50233;58997,47709;214686,6445;369,075;16146,99279;1352561,559;0;0;81736,68124;104556,4601;37,93732498;31,59950684;0;10502,05252;71820,40191;210,5742187;47958,9715;277,2195035;5611,573804;1423166,035;49753,34211
SFP;1;R3;1,23E+07;2701784,981;872884,212;3230487,525;1640682,693;1113891,86;738405,6416;0;8022,679189;1778512,833;53398,14177;13392,50202;171039,5145;0;0;0;1132982,519;2502945,619;1028159,06;559196,6459;770042,6844;231443,948;175495,6942;343632,76;2819944,743;658121,7443;706150,8637;777034,7825;601952,7295;609955,7354;586065,3554;1360633,592;40217,11957;360222,8921;29719,67199;34132,58553;341198,4496;206611,4179;113753,8892;1187886,626;201751,0849;391627,6601;219819,1906;547508,2427;33908,31413;26400,5664;29492,1042;169951,0843;0;18854,2876;1094165,506;0;0;96228,15453;120280,6805;0;0;253,8571051;984,4205109;120731,1563;274,7667188;12691,04734;0;9178,602031;1300347,767;47373,52749
SRFAC;1;R1;1,09E+07;2803345,953;621375,5601;3230118,124;1490443,431;1022707,995;265560,2559;0;4972,513704;3416037,961;48025,65738;12001,92597;687815,1447;0;0;0;1750007,486;1456737,345;329181,518;1252096,891;419389,8583;1262528,133;1467951,895;981854,7368;1170178,116;252191,8659;286411,8625;614360,4425;302677,8375;319991,4458;914939,9241;1153252,957;178599,6869;354951,6867;130260,4748;114205,1951;118404,5543;680754,6645;322530,1096;325024,1069;291684,3443;479871,6044;327011,0586;906871,2356;80610,54326;47060,55067;87972,89985;221910,5884;229,1507849;9842,888723;1141697,734;0;11097,08979;48505,31077;75233,55158;0;146,0881064;302,1495062;4939,256702;117241,667;239,6250394;54676,40461;1215,73207;9708,617864;1417838,889;57929,97441
SRFAC;1;R2;9349961,669;2654178,376;893763,1747;2121834,67;1324303,056;637220,6353;249459,1397;0;981,1456201;1623192,047;27217,08583;7469,237092;311009,7851;0;0;0;911557,9155;1065563,676;249130,566;808028,1621;324340,2731;535603,1852;531017,2613;332508,1843;1134763,967;258321,0315;259588,3966;654823,9011;238945,5004;255730,0727;436838,6891;976804,5697;63246,72591;284397,1551;42895,89658;54295,34041;121905,9771;520528,6293;129524,5952;967800,7939;176781,3007;340578,2497;186599,1104;589960,455;28499,60966;29354,39001;47613,09297;230124,9674;288,5147241;13771,22845;967927,3621;0;4117,09106;62584,77153;87241,57892;30,07125;28,44008057;29,48757568;784,3440747;135697,8045;276,3861685;9660,461763;0;215436,0331;1399514,279;50699,54378
SRFAC;1;R3;1,16E+07;2309439,155;604659,749;3677940,744;1453262,951;1096665,337;383822,4404;0;0;2707012,602;34049,38398;10633,02503;593126,6726;0;0;0;1432562,097;1465446,914;403179,8675;1464155,092;511240,9789;971943,8133;1165391,11;736561,0031;1460848,966;347569,3341;397941,1371;691356,3242;368169,5407;385544,3288;1239625,034;1431230,031;463305,9433;396939,9425;403139,2653;340587,4302;134754,5306;548027,1291;364159,272;476150,4982;400604,9406;512795,1656;343230,2725;759882,6186;116925,4345;64098,44261;85978,32186;167153,0742;837,2522571;15780,72336;1409377,149;0;7028,304578;55275,45892;73782,82194;0;0;0;8830,502;83848,89538;264,3485458;43135,86242;0;5856,898284;1225226,32;145312,1755
PPS;1;R1;2505289,816;2118930,48;1874381,095;2106397,796;1481586,185;266661,1039;1372879,824;4570774,864;5659528,075;3271988,926;25020,27197;10963,0467;200839,587;878649,6916;563476,7974;585867,227;1802316,166;603131,6706;211293,7084;822280,6246;961550,9817;470941,6971;475777,9489;951593,771;4927415,392;1697423,938;946117,3923;1427778,539;786495,255;793394,1033;526285,2801;543057,5646;363663,5216;123246,7055;326885,1197;255528,7768;250592,5429;1073348,68;107146,3502;549275,5002;149738,594;238791,2983;81995,85068;1247943,126;36246,06734;15147,5572;21313,32581;215988,4675;113217,5332;13792,50987;595671,086;44634,6274;29776,44125;45943,67743;53801,79326;0;2462,000092;520,6260983;17360,04891;60612,12071;0;7783,642174;0;6361,5765;928182,2384;107765,8739
PPS;1;R2;4178150,004;2656580,761;652939,7111;3550735,948;1561027,653;774382,2209;266252,9466;5025790,592;3803786,221;2770701,767;26521,86647;9483,372914;66190,96254;1921592,404;1093862,662;1218983,805;1579715,646;955463,6675;42244,97019;1391004,691;337674,3566;359846,0232;324830,2837;673722,4316;1128637,25;252481,1248;241156,5087;532832,0811;233760,0734;282046,1937;1269344,7;1212768,771;64036,26458;366518,1903;35954,85986;54541,11004;31556,29809;733335,6845;132635,3635;376176,5337;378654,6106;473353,4246;323798,0445;955637,3329;14287,72604;6813,598715;9736,492433;196058,3714;184927,1836;20223,45306;1263350,167;86422,34011;89479,76192;37872,12777;53826,48652;0;2153,481177;0;18107,96142;43684,25882;0;1520,704319;0;7356,584062;1360834,061;47461,86262
PPS;1;R3;3125711,716;2404879,469;740794,8554;2688241,579;1598353,902;555197,2155;346054,796;4880747,189;4346496,378;3129179,385;110840,1999;44160,76848;879062,3431;1689404,641;878054,5121;986796,7099;1790805,177;808012,0845;58939,46156;1056195,412;427306,2286;416697,7201;422621,5128;874979,6603;1391694,134;309861,5792;314636,395;663268,2955;302518,7921;356751,0223;622264,5703;880193,8086;21974,0241;199938,8741;10988,44945;18339,83791;57135,44855;702783,5884;94590,64399;953566,1531;190503,7246;320383,1763;180372,8844;951119,0888;90845,23524;33039,72126;99593,45653;190900,9538;153033,3384;36275,63986;1006848,516;71538,8949;68732,66389;81429,70192;116381,2665;24,80788147;7598,535967;0;15512,71756;86293,33126;0;70948,13718;1786,706302;6184,841099;1242258,704;53712,27513
Syncom;3;R1;9011983,745;1188694,21;94375,9253;954215,9021;900969,6173;1017567,244;0;0;0;24,75303589;20295,8273;9538,465215;8364736,742;0;0;0;0;109713,0941;0;305679,4249;224,0887473;1515,060522;0;0;2191,923415;0;739927,8229;21398,89245;73,84666443;118,2579346;111074,5885;688759,1311;13650,85778;272304,0676;2795,947773;14733,74948;0;0;33480,64162;759114,8333;65688,36275;109335,6937;5744,352582;0;2686207,816;1410180,824;1062648,454;669658,5375;0;5110,519144;843477,8185;0;34542,71041;313881,7663;311760,1893;2719624,221;0;94,46456451;79,74240829;65144,9;369635,8121;929407,8081;301756,1199;130792,1784;665203,7246;361764,7871
Syncom;3;R2;1,28E+07;1226437,876;66566,17286;1679025,445;624053,2177;1708342,61;0;0;0;0;2723,043219;2061,525303;6301036,488;0;0;0;0;169190,1025;0;658629,4782;120,2759775;850,745663;0;0;960,2304501;0;615326,6858;2815,950387;73,03857834;20,77165283;286146,7237;1207661,724;12058,87369;507707,5167;1364,886848;12103,78082;0;0;38064,19019;1292653,987;140664,8818;213897,5782;19093,23965;0;1877389,76;838029,1759;725077,4511;794429,9589;20,56783585;8081,639961;1327762,907;0;50943,98614;448953,6034;481606,5461;2753923,104;0;58,55213287;159,4999457;29587,49503;273805,6566;637425,4575;166174,6835;100348,1744;696536,2027;174132,6889
Syncom;3;R3;1,03E+07;1173046,657;27515,68637;1204209,226;614316,0104;1428661,974;0;0;0;0;3251,170648;1050,946173;3443552,533;0;0;0;0;114853,4808;0;483896,3065;24,41865234;804,8620422;0;0;786,3231404;0;494846,5127;2226,947801;26,45361145;21,91636505;165777,9292;615688,8995;22330,56879;393899,0879;5269,653112;22754,59503;0;0;42774,29569;1064564,019;98384,04036;147824,5957;11787,6082;0;801169,4511;386516,5108;616093,5686;799099,1791;0;6469,468189;946135,4999;0;27313,4536;325444,9138;311080,1598;2691340,958;0;99,29098938;19,45728699;10200,55317;279274,4818;305334,3268;40032,9895;55757,2906;686546,3654;367980,4462
WT;3;R1;4348394,135;1178274,251;40967,05082;1904107,953;683028,9768;967443,2785;0;3307971,36;723789,9097;77,48200699;3431,732998;1393,24402;492547,7704;628489,8725;508737,2639;641453,4026;25,1206842;779543,1428;0;758268,1783;25,68467285;508,2666412;0;0;3662,048072;0;536250,3424;9085,747926;60,47909088;74,76743774;89222,94617;682324,9836;14714,16189;343851,6865;4331,939099;12932,72557;0;0;10860,18085;1742018,713;53853,19747;188735,9462;23657,39019;0;103080,6877;27594,98239;100644,2077;673647,5037;928548,0335;888056,8228;1966848,068;300700,1829;305629,4865;617705,2582;616112,994;2717871,7;175177,8329;270,8705585;68669,59151;14747,68115;74948,21631;25419,5181;313,6366241;10015,94593;697851,1957;175541,5763
