iD;molecularFormula;adduct;NPC#pathway;NPC#pathway Probability;NPC#superclass;NPC#superclass Probability;NPC#class;NPC#class Probability;ClassyFire#most specific class;ClassyFire#most specific class Probability;ClassyFire#level 5;ClassyFire#level 5 Probability;ClassyFire#subclass;ClassyFire#subclass Probability;ClassyFire#class;ClassyFire#class Probability;ClassyFire#superclass;ClassyFire#superclass probability;ClassyFire#all classifications
1;C4H6N3OS;[M + Na]+;Alkaloids;9.95388E+14;Histidine alkaloids;7.73812E+14;Imidazole alkaloids;7.38448E+15;N-substituted imidazoles;9.57017E+15;Substituted imidazoles;9.51669E+15;Imidazoles;9.89114E+15;Azoles;9.98461E+15;Organoheterocyclic compounds;9.99996E+15;"Organic compounds; Organoheterocyclic compounds; Imidazoles; Organonitrogen compounds; Azoles; Substituted imidazoles; N-substituted imidazoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
3;C6H4NO5PS;[M + Na]+;Alkaloids;5.546E+15;Coumarins;8.70419E+15;Isocoumarins;9.40217E+15;Aryl thiophosphates;5.45097E+15;Aryl thiophosphates;5.45097E+15;Thiophosphoric acid esters;8.21156E+14;Organic thiophosphoric acids and derivatives;9.76704E+15;Organic acids and derivatives;1.21716E+16;"Organic compounds; Organoheterocyclic compounds; Thiazoles; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Aryl thiophosphates; Organic nitrogen compounds; Chemical entities"
5;C4H3O3P3;[M + Na]+;Shikimates and Phenylpropanoids;2.76217E+15;Fatty acyls;2.14554E+16;Marine-bacterial DPEs;5.1887E+15;Heteroaromatic compounds;5.47064E+15;;;;;Heteroaromatic compounds;5.47064E+15;Organoheterocyclic compounds;9.92743E+15;"Organic compounds; Organoheterocyclic compounds; Organooxygen compounds; Organic oxides; Oxacyclic compounds; Phosphacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
6;C9H20N2;[M + H]+;Alkaloids;6.47138E+15;Lysine alkaloids;2.79153E+14;Piperidine alkaloids;2.26841E+16;Aminopiperidines;9.44065E+15;;;Aminopiperidines;9.44065E+15;Piperidines;9.84291E+15;Organoheterocyclic compounds;9.96586E+15;"Organic compounds; Organoheterocyclic compounds; Piperidines; Organonitrogen compounds; Dialkylamines; Aminopiperidines; Amines; Primary amines; Secondary amines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"
7;C6H15NO3;[M + H]+;Fatty acids;6.66925E+15;Fatty acyls;3.37713E+15;Fatty alcohols;5.49724E+15;1,2-aminoalcohols;9.23162E+14;Alkanolamines;9.8573E+15;Amines;9.99994E+15;Organonitrogen compounds;9.99989E+15;Organic nitrogen compounds;9.99345E+15;"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
9;C11H23NO2;[M + H]+;Terpenoids;6.76989E+15;Lysine alkaloids;7.0205E+14;Piperidine alkaloids;2.07651E+16;Piperidines;9.90377E+15;;;;;Piperidines;9.90377E+15;Organoheterocyclic compounds;9.99963E+15;"Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Piperidines; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Secondary alcohols; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
10;C26H48N2O6;[M + H]+;Fatty acids;8.25006E+15;Linear polyketides;1.16884E+16;Open-chain polyketides;1.52705E+16;N-acyl amines;7.81237E+15;N-acyl amines;7.81237E+15;Fatty amides;7.02054E+15;Fatty Acyls;9.75016E+15;Lipids and lipid-like molecules;9.77997E+15;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Fatty amides; Carboxylic acid derivatives; N-acyl amines; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
11;C12H25NO2;[M + H]+;Alkaloids;8.01821E+15;Lysine alkaloids;7.79592E+14;Piperidine alkaloids;5.79927E+14;Piperidines;8.42664E+15;;;;;Piperidines;8.42664E+15;Organoheterocyclic compounds;9.54974E+15;"Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Piperidines; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Secondary alcohols; 1,2-aminoalcohols; Amines; Tertiary amines; Alkanolamines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
12;C27H44N4O6;[M + H]+;Amino acids and Peptides;7.00177E+15;Small peptides;4.41335E+15;Cyclic peptides;3.84901E+16;Alpha amino acids and derivatives;6.15791E+15;Amino acids and derivatives;8.44808E+15;Amino acids, peptides, and analogues;8.51233E+15;Carboxylic acids and derivatives;9.86333E+15;Organic acids and derivatives;9.98644E+15;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
13;C5H9NO2;[M + H]+;Amino acids and Peptides;9.90415E+15;Small peptides;9.98811E+15;Aminoacids;9.33982E+15;Alpha amino acids;9.23552E+15;Amino acids and derivatives;9.99948E+15;Amino acids, peptides, and analogues;9.99943E+15;Carboxylic acids and derivatives;9.99933E+15;Organic acids and derivatives;9.99875E+15;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Dialkylamines; Alpha amino acids; Pyrrolidine carboxylic acids; Amines; Secondary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
