Syncom;P5_B1;sfp;srfAC;ppsC
11596423,91;2528218,263;11033333,33;10616653,89;3724218,935
2414374,456;2462059,528;2714972,497;2588987,828;2051246,279
2249965,669;1576870,049;1238442,505;706599,4946;855652,7236
2420859,826;3061996,382;2896694,653;3009964,513;2393872,385
1911013,05;1164394,618;1500972,945;1422669,813;1184866,956
1628667,994;557646,9731;980937,2234;918864,6558;632460,2023
394813,4481;315028,5284;445015,7894;299613,9453;546377,5902
15979,38661;4498701,006;2901,253371;0;4026629,626
99908,01395;4233853,217;31411,32532;1984,553108;3401018,864
10013,41371;2243636,19;1702947,343;2582080,87;2014238,538
8664,190439;2057194,26;74958,68641;36430,70906;37894,22263
5203,717232;884485,4421;18944,99494;10034,72936;19223,66956
352460,2783;505119,9318;307988,2947;530650,5341;360373,3598
1155,822198;1526489,263;473,5937887;0;1136894,024
1787,66141;905467,8482;0;0;737137,3971
1923,1648;1179433,536;176,9747649;0;810123,4054
206,5130219;1383733,771;1080924,599;1364709,166;1127343,937
166854,1788;745885,7397;2140481,829;1329249,312;826901,4893
415075,8205;49988,49723;547323,3085;327163,9838;84512,89286
971909,7892;1248973,736;910442,4203;1174760,048;938361,204
441877,347;410104,2627;505386,5894;418323,7034;433086,9944
7980,493215;405478,1751;230389,3869;923358,3772;277371,6245
3437,188494;491929,7281;174442,6888;1054786,755;266869,4109
222,382551;574688,624;373826,0796;683641,3081;541772,0675
1642034,918;1444537,173;1784459,827;1255263,683;2022195,82
373027,4127;311951,5241;411803,3033;286027,4105;649968,3543
382074,2682;312808,3095;430914,4151;314647,1321;548855,9833
661546,9492;606348,0465;675004,0982;653513,5559;654249,9942
303744,238;283622,0251;376974,5376;303264,2929;340096,9616
357285,3054;312437,5017;424476,8257;320421,9491;358510,2308
535340,3583;664092,4201;672048,4413;863801,2157;621888,9846
1130732,119;795360,313;1281820,921;1187095,853;926676,4689
336109,4388;418184,9992;351041,045;235050,7854;147733,2272
478287,4016;184938,3315;322102,1783;345429,5948;255990,0175
235728,8854;349670,6691;289983,0657;192098,5456;123660,87
250783,2418;301153,7137;241587,355;169695,9886;108053,2147
145510,8149;50414,56734;195927,515;125021,6873;94049,61366
0;556092,7962;190605,7433;583103,4743;602228,1215
101019,6424;117781,62;100516,5159;272071,3256;80901,10379
1256135,925;669106,7984;623805,6675;589658,4663;686923,949
224395,4128;200472,1796;219949,0331;289690,1952;190540,5104
322641,7306;335548,0117;397384,1678;444415,0066;292729,005
173962,6127;196074,9524;247307,0036;285613,4805;142319,7474
844,874087;659142,9598;564297,2052;752238,1031;734604,3748
84831,58122;63610,93751;36956,48114;75345,19581;82866,75429
40295,87799;18618,2739;30947,17599;46837,79443;22605,02911
35449,58738;37252,83945;43981,03374;73854,77156;53728,91498
300977,0327;277120,7362;231207,0408;206396,21;387806,2032
545,9051074;115962,7381;210,5131;451,6392554;404260,2572
13214,14111;16813,53908;17707,22958;13131,61351;210434,6731
1044528,567;988012,2547;1177255,643;1173000,748;1152933,798
0;60036,26144;0;0;164809,5206
17126,61491;76523,75642;103,4561646;7414,161809;85611,58419
360359,4459;92898,99589;99882,82709;55455,18041;407389,1447
401327,4493;119092,8548;129098,6235;78752,65081;425492,2923
16,88156006;0;24,05991562;10,02375;864512,8693
22,28929962;6293,995992;44,88798035;58,17606232;62878,91136
73,95268432;157,1006233;92,94101929;110,545694;223,8985376
8474,010728;13957,06017;8362,887794;4851,367592;43964,71695
99902,02113;144894,7673;83346,77408;112262,789;49359,4884
650,4293171;87,2561432;316,6113245;260,1199179;22220,08141
23634,42424;32052,06654;23938,14557;35824,24293;17107,92744
183,1003972;1196,638603;92,40650117;405,2440233;680,7287157
5850,312448;6343,684399;6991,359192;77000,51642;6842,415034
1229125,634;1280645,228;1372471,757;1347526,496;1014620,974
102488,2523;58086,1018;61697,38658;84647,23123;120021,7153
