row ID;row m/z;SCCe0064.mzML Peak area;SCCe0065.mzML Peak area;SCCe0066.mzML Peak area;SCCe0067.mzML Peak area;SCCe0068.mzML Peak area;SCCe0069.mzML Peak area;SCCe0070.mzML Peak area;SCCe0071.mzML Peak area;SCCe0072.mzML Peak area;SCCe0073.mzML Peak area;SCCe0074.mzML Peak area;SCCe0075.mzML Peak area;SCCe0076.mzML Peak area;SCCe0077.mzML Peak area;SCCe0078.mzML Peak area;SCCe0079.mzML Peak area;SCCe0080.mzML Peak area;SCCe0081.mzML Peak area;SCCe0082.mzML Peak area;SCCe0083.mzML Peak area;SCCe0084.mzML Peak area;SCCe0085.mzML Peak area;SCCe0086.mzML Peak area;SCCe0087.mzML Peak area;SCCe0088.mzML Peak area;SCCe0089.mzML Peak area;SCCe0090.mzML Peak area;SCCe0091.mzML Peak area;SCCe0092.mzML Peak area;SCCe0093.mzML Peak area;SCCe0094.mzML Peak area;SCCe0095.mzML Peak area;SCCe0096.mzML Peak area;SCCe0097.mzML Peak area;SCCe0098.mzML Peak area;SCCe0099.mzML Peak area;SCCe0100.mzML Peak area;SCCe0101.mzML Peak area;SCCe0102.mzML Peak area;SCCe0103.mzML Peak area;SCCe0104.mzML Peak area;SCCe0105.mzML Peak area;SCCe0106.mzML Peak area;SCCe0107.mzML Peak area;SCCe0108.mzML Peak area;SCCe0109.mzML Peak area;SCCe0110.mzML Peak area;SCCe0111.mzML Peak area;SCCe0112.mzML Peak area;SCCe0113.mzML Peak area;SCCe0114.mzML Peak area;SCCe0115.mzML Peak area;SCCe0116.mzML Peak area;SCCe0117.mzML Peak area;SCCe0118.mzML Peak area;SCCe0119.mzML Peak area;SCCe0120.mzML Peak area;SCCe0121.mzML Peak area;SCCe0122.mzML Peak area;SCCe0123.mzML Peak area;SCCe0124.mzML Peak area;SCCe0125.mzML Peak area;SCCe0126.mzML Peak area;SCCe0127.mzML Peak area;SCCe0128.mzML Peak area;SCCe0129.mzML Peak area;SCCe0130.mzML Peak area;SCCe0131.mzML Peak area;SCCe0132.mzML Peak area;SCCe0133.mzML Peak area;SCCe0134.mzML Peak area;SCCe0135.mzML Peak area;SCCe0136.mzML Peak area;SCCe0137.mzML Peak area;SCCe0138.mzML Peak area;SCCe0139.mzML Peak area;SCCe0140.mzML Peak area;SCCe0141.mzML Peak area;SCCe0142.mzML Peak area
6;157.1697468;0;20205.75;14476.83;0;12393.024;28857.043;12638.235;12538.172;24657.34;9877.432;10788.818;44954.723;15523.885;4312.6055;10675.079;53932.6;33777.6;17362.97;13337.848;23470.492;0;0;0;0;0;0;0;0;0;4524.564;0;2997.838;1923.094;0;0;13502.367;5912.2197;0;0;5594.293;0;0;0;0;23160.857;0;1307.0424;3608.1594;0;10231.969;0;0;3365.541;0;0;2598.2944;0;0;3954.4065;24112.914;0;0;0;0;14036.09;5594.043;0;16300.232;19998.268;0;13729.263;4483.6104;0;0;7274.122;0;5007.7515;1668.5647;3372.9004
7;150.112316;0;4232.815;1629.4065;0;1934.8643;0;0;902.6249;0;0;0;2311.0015;0;0;0;6533.727;6788.511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1143.7369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1181.9066;0;0;2674.8755;937.9453;975.13617;1276.9344;0;0;0;0;0;0;0;0;2981.125;0;0
10;485.3582245;5422.38;6392.347;5849.7935;0;3481.4885;0;0;2828.5613;5389.7954;0;2393.9443;4734.938;0;0;3575.4363;9470.172;7150.7695;4851.445;0;8303.157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;216.1954559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8028.772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11840.603;4783.627;4126.831;4407.18;0;5011.729;0;0;0;0;0;0;0;0;0;0;0;0;2203.2725
12;521.3351586;7024.446;8668.217;8225.495;0;4672.4175;0;0;0;6281.339;0;0;5516.7085;0;0;0;10152.504;6710.3174;5137.969;8211.801;7921.605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;116.0700915;5247.5435;0;0;13269.344;9652.419;0;10042.808;10140.737;9904.616;0;13205.693;15097.314;0;12163.244;13015.86;12685.118;8527.644;24684.215;6815.8525;0;0;0;0;5603.411;11503.614;9903.905;7223.194;0;0;10839.924;0;9612.069;14925.7295;0;5258.123;4709.3823;0;10154.693;3930.7668;0;0;0;0;0;3167.5723;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14784.447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;213.1228405;0;0;0;0;0;2494.9656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3910.5068;0;2151.9924;0;4288.3296;3624.455;8917.247;0;6882.174;12415.562;3644.059;3852.7202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;150.0583905;32853.33;26463.262;21252.273;36368.3;10729.81;34074.418;38381.633;37898.285;37103.453;42135.984;39337.06;41426.2;6529.52;52553.566;51580.75;17194.805;33346.14;57650.47;55224.938;34289.27;0;0;0;11882.065;28271.266;31185.99;13691.063;10558.02;13938.636;9996.512;25801.592;12639.773;30338.688;8735.142;8857.461;0;22107.865;43918.465;21971.418;34428.56;0;0;0;0;4927.538;0;1191.5181;0;0;0;0;0;0;0;0;0;3344.889;24863.201;6228.6235;12422.657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;261.1445364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5933.6626;3833.0674;7151.8154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;683.3849;0;2965.6855;0;0;4763.6465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;390.1869296;0;0;0;0;0;1893.3125;0;0;0;2358.8047;0;0;1888.0762;0;0;4514.6567;2061.48;2465.4297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
